,genres,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,mode,count
10,"['adult standards', 'ballroom', 'easy listening', 'lounge']",101 Strings Orchestra,0.588875,0.292525,173106.375,0.397,0.7145375,0.195375,-13.496375,0.037975,100.623125,0.391525,27.0,1,16
11,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock', 'yacht rock']",10cc,0.230821053,0.5606315789999999,298796.5789,0.567315789,0.007471384,0.15209473699999998,-10.35405263,0.066110526,121.8002632,0.555,41.57894737,1,38
12,"['atl hip hop', 'boy band', 'dance pop', 'gangster rap', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",112,0.13861791699999998,0.677416667,270513.9167,0.5333958329999999,0.000164532,0.13380625,-7.6165833329999995,0.106570833,114.64527079999999,0.551166667,50.16666667,1,48
13,"['alternative metal', 'christian alternative rock', 'christian hard rock', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']",12 Stones,0.08026649999999999,0.38583333299999995,204280.1667,0.888833333,2.73e-06,0.249233333,-3.887,0.0693,138.6921667,0.450666667,50.5,1,12
14,"['brill building pop', 'bubblegum pop', 'classic garage rock', 'folk rock', 'merseybeat']",1910 Fruitgum Company,0.4185,0.757,140750.0,0.60525,0.00077785,0.12425,-9.72575,0.044725,128.4975,0.8995,24.25,1,8
15,['florida rap'],1way Frank,0.735,0.7829999999999999,170867.0,0.38,1.58e-06,0.158,-8.507,0.0974,99.802,0.84,56.0,0,2
16,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2 Chainz,0.135492835,0.749314961,235681.5197,0.650291339,0.0005069159999999999,0.218785039,-6.1097480310000005,0.22207637800000002,130.1137717,0.496820472,57.02362205,1,127
17,"['electro', 'gangster rap', 'hip hop', 'hip house', 'miami bass', 'miami hip hop', 'old school hip hop', 'rap']",2 LIVE CREW,0.052960762,0.873095238,233437.4286,0.660333333,0.013121117,0.390152381,-11.56585714,0.186066667,126.4129524,0.6103333329999999,35.80952381,1,42
18,"['bubblegum dance', 'eurodance', 'europop', 'hip house']",2 Unlimited,0.030780000000000002,0.69825,228208.0,0.92175,0.00642235,0.083525,-11.52175,0.059025,130.9715,0.7685,55.75,0,8
19,['dirty texas rap'],20-2-Life,0.0443,0.851,403467.0,0.451,0.297,0.127,-10.707,0.267,117.84700000000001,0.25,33.0,1,2
20,['new age'],2002,0.905,0.22899999999999998,267840.3333,0.155,0.8523333329999999,0.105266667,-19.01433333,0.035533333,114.31200000000001,0.06333333299999999,48.33333333,1,6
21,"['swedish hard rock', 'swedish melodic rock']",220 Volt,4.5799999999999995e-05,0.8340000000000001,309747.0,0.605,0.45399999999999996,0.295,-14.530999999999999,0.248,139.997,0.515,0.0,1,2
22,"['brooklyn drill', 'nyc rap']",22Gz,0.281,0.83,190746.0,0.574,0.0,0.124,-6.892,0.701,143.892,0.5379999999999999,70.0,1,2
23,"['trap', 'trap soul', 'underground hip hop', 'vapor trap']",24hrs,0.0598,0.5405,197806.5,0.74,0.0,0.12435,-5.4345,0.18005,117.9925,0.34,66.5,1,4
24,['cali rap'],24kGoldn,0.14452526300000001,0.7429473679999999,162868.0526,0.655684211,0.008539196,0.146673684,-5.020052632,0.112747368,120.76063159999998,0.5452526320000001,74.26315789,0,19
25,"['emo rap', 'sad rap']",27CLUB,0.428,0.514,155893.0,0.7120000000000001,8.77e-06,0.11199999999999999,-7.281000000000001,0.33399999999999996,76.393,0.48700000000000004,68.0,1,2
26,"['afro dancehall', 'afropop', 'azontobeats', 'highlife', 'nigerian hip hop', 'nigerian pop']",2Baba,0.0158,0.591,283000.0,0.602,0.0,0.278,-7.483,0.386,147.957,0.355,0.0,1,2
27,"['bow pop', 'cello', 'classify']",2CELLOS,0.603,0.5865,253046.5,0.499,0.42983999999999994,0.149,-8.705,0.04035,122.251,0.6005,59.0,1,4
28,['kentucky hip hop'],2KBABY,0.2912,0.6225,147745.0,0.418,0.0,0.203,-9.2685,0.479,103.163,0.402,69.5,1,4
29,"['dance pop', 'k-pop', 'k-pop girl group', 'pop dance']",2NE1,0.08522333300000001,0.688,217679.3333,0.732,0.033413332999999996,0.0928,-3.418333333,0.038833333,128.237,0.59,58.66666667,1,6
30,"['k-pop', 'k-pop boy group', 'korean pop']",2PM,0.17600000000000002,0.615,200827.0,0.9009999999999999,0.0,0.204,-4.457,0.0302,131.989,0.779,48.0,1,2
31,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",2Pac,0.133566868,0.7733933820000001,262530.9191,0.704150735,0.007963721,0.224100735,-7.133066176,0.223157353,107.80979040000001,0.607426471,49.125,1,272
32,['epicore'],2WEI,0.1,0.14,204587.0,0.478,0.00011200000000000001,0.105,-10.145,0.0484,185.12099999999998,0.0412,75.0,0,1
33,"['gangster rap', 'west coast rap']",2nd II None,0.046651429,0.9071428570000001,225805.7143,0.5329999999999999,1.45e-06,0.29542857100000003,-11.43957143,0.224857143,102.7008571,0.766285714,35.14285714,0,7
34,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']",3 Doors Down,0.040607528999999996,0.505862745,232945.6078,0.789901961,0.006610647,0.160898039,-5.749568627,0.038417647,130.7540588,0.451823529,50.01960784,1,51
35,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'modern rock', 'nu metal', 'pop rock', 'rap rock', 'reggae fusion', 'rock']",311,0.020677875,0.615735849,209539.8679,0.824018868,0.013856277,0.169637736,-7.346490566,0.065045283,134.83832080000002,0.618577358,40.45283019,1,106
36,['sad rap'],347aidan,0.6709999999999999,0.98,180139.0,0.413,7.950000000000001e-05,0.17,-11.052,0.10099999999999999,119.993,0.764,77.0,0,2
37,"['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']",38 Special,0.029172821,0.529076923,254299.0769,0.621897436,0.028740013999999998,0.12165641,-11.3754359,0.032105128,126.70312820000001,0.778461538,32.79487179,1,78
38,['trival'],3BallMTY,0.1492,0.7285,211386.5,0.9159999999999999,1.56e-05,0.133,-4.36,0.18375,131.91899999999998,0.8585,55.0,1,2
39,"['big room', 'edm', 'electro house', 'electronic trap', 'electropop', 'mashup', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']",3LAU,0.183,0.496,210469.0,0.789,0.0,0.34,-3.648,0.0839,127.961,0.28600000000000003,52.0,1,1
40,"['girl group', 'hip pop', 'r&b', 'urban contemporary']",3LW,0.0558,0.7178,272055.8,0.7196,2.17e-05,0.15058,-5.9238,0.11084000000000001,129.6848,0.6678,49.4,0,5
41,"['dark clubbing', 'electro-industrial', 'industrial', 'industrial metal', 'industrial rock']",3T,0.34966666700000004,0.669666667,320777.6667,0.435666667,0.000150967,0.33066666699999997,-11.056,0.0342,113.09100000000001,0.479333333,45.33333333,0,3
42,"['east coast hip hop', 'electro', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip house', 'rap']",3rd Bass,0.159066667,0.850333333,245560.0,0.665666667,0.0,0.157866667,-13.845999999999998,0.253333333,105.84233329999999,0.650333333,28.33333333,1,6
43,"['new wave pop', 'pop rock']",4 Non Blondes,0.18415,0.528666667,239673.3333,0.57,5.1e-07,0.12663333300000001,-10.1005,0.03825,117.8765,0.446166667,48.33333333,1,12
44,"['oi', 'punk', 'ska']",4 Skins,0.0104,0.2655,158007.0,0.9295,2.61e-06,0.6155,-4.7330000000000005,0.125,154.4345,0.4985,33.5,0,4
45,"['detroit trap', 'rap', 'southern hip hop', 'trap']",42 Dugg,0.19697777800000002,0.846888889,175771.0,0.566555556,0.0,0.151466667,-6.050555556,0.340888889,126.25266670000002,0.33966666700000003,69.22222222,0,9
46,"['dark wave', 'deathrock', 'gothic rock', 'horror punk']",45 Grave,0.016083825,0.4175,162716.75,0.79125,0.41150196,0.139525,-8.59175,0.066975,155.6615,0.64775,30.5,1,8
47,"['christian alternative rock', 'christian music', 'deep christian rock', 'worship']",4Him,0.282333333,0.47633333299999997,290636.3333,0.487333333,0.0015737829999999998,0.111333333,-10.05633333,0.030133332999999998,111.23966670000001,0.311666667,33.66666667,1,6
48,"['k-pop', 'k-pop girl group']",4Minute,0.00589,0.54,192400.0,0.929,4.01e-06,0.424,-2.6460000000000004,0.278,176.023,0.624,61.0,1,2
49,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",50 Cent,0.122386348,0.695039326,234964.0899,0.76238764,0.000548475,0.19836123600000002,-4.149426966,0.259516292,105.929427,0.589769663,52.34269663,1,178
50,"['dirty south rap', 'pop rap', 'southern hip hop']",504 Boyz,0.01643,0.809,212434.0,0.624,0.0,0.2355,-8.81,0.2565,125.0315,0.532,47.5,1,4
51,['white noise'],520Hz,0.996,0.0,197680.0,0.0197,0.996,0.10400000000000001,-47.19,0.0,0.0,0.0,57.0,1,2
52,"['dirty south rap', 'dirty texas rap', 'gangster rap', 'houston rap']",5th Ward Boyz,0.158,0.8420000000000001,352173.0,0.336,0.0,0.256,-8.227,0.379,78.001,0.599,36.0,0,1
53,['miami bass'],69 Boyz,0.03269,0.851,256279.75,0.742,0.0,0.18345,-11.60925,0.22375,133.01425,0.6795,41.75,0,8
54,"['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']",6LACK,0.266721304,0.637130435,220217.8913,0.520434783,0.0018859229999999999,0.122969565,-7.958130435,0.16056087,121.3756304,0.30889565199999997,63.86956522,1,46
55,"['opm', 'pinoy rock']",6cyclemind,0.44299999999999995,0.7175,295993.0,0.4735,0.00158574,0.131,-8.5365,0.03095,97.2875,0.47,57.5,1,4
56,['emo rap'],6ix9ine,0.112184615,0.733730769,156294.8462,0.697923077,4.61e-06,0.144330769,-5.1340384619999995,0.240761538,123.0933846,0.455384615,69.30769231,1,26
57,"['grunge', 'riot grrrl']",7 Year Bitch,9.03e-06,0.349,167333.0,0.7090000000000001,0.0095,0.147,-12.339,0.0336,114.581,0.708,41.0,0,2
58,"['girl group', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']",702,0.197222222,0.74,255970.2222,0.611222222,0.004330793,0.16442222199999998,-8.151888889,0.06581111099999999,99.07033333,0.59,52.11111111,1,9
59,"['acid house', 'big beat', 'chicago house', 'electronica', 'hardcore techno', 'hip house', 'intelligent dance music', 'madchester', 'rave', 'techno']",808 State,0.00857,0.5535,285153.5,0.8715,0.5855,0.1215,-8.0475,0.05975,128.4775,0.5025,42.0,1,4
60,"['canadian hip hop', 'melodic rap', 'rap', 'southern hip hop', 'toronto rap', 'trap', 'trap soul', 'underground hip hop', 'vapor trap']",88GLAM,0.0166,0.764,180813.0,0.672,1.06e-06,0.10300000000000001,-4.274,0.0655,150.02100000000002,0.594,68.0,0,2
61,"['asian american hip hop', 'pop']",88rising,0.527466667,0.585,209444.6667,0.46316666700000003,4.6e-05,0.21815,-9.008666667,0.09198333300000001,109.58783329999999,0.38533333299999994,69.83333333,1,6
62,"['crunk', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'southern hip hop', 'trap']",8Ball,0.073376923,0.780538462,282367.3077,0.664384615,0.0006,0.242384615,-6.487769231000001,0.1845,122.0759231,0.539076923,42.53846154,1,13
63,['lo-fi beats'],90sFlav,0.9520000000000001,0.748,126250.0,0.265,0.917,0.0866,-12.074000000000002,0.22899999999999998,77.009,0.14,70.0,0,2
64,"['emo rap', 'melodic rap', 'sad rap']",916frosty,0.637,0.597,248803.0,0.5589999999999999,0.0,0.13699999999999998,-7.218999999999999,0.0835,145.826,0.268,66.0,0,2
65,"['dark trap', 'emo rap', 'glitchcore', 'sad rap']",93FEETOFSMOKE,0.139,0.816,148140.0,0.5770000000000001,0.0,0.0827,-5.997999999999999,0.41,171.028,0.45899999999999996,66.0,1,1
66,"['boy band', 'dance pop']",98,0.34703,0.61025,250582.6,0.581,3.55e-07,0.11316500000000002,-8.21425,0.041735,101.6388,0.42775,49.0,1,20
67,"['oi', 'pub rock', 'punk']",999,0.030186667,0.596,217075.3333,0.631,0.282667583,0.1723,-9.655333333,0.0489,132.0906667,0.5146666670000001,33.66666667,1,6
68,"['florida rap', 'vapor trap']",9lokknine,0.033133333,0.8643333329999999,181220.0,0.544,0.0,0.1746,-8.401333333,0.272666667,90.15666667,0.521,67.66666667,0,6
69,['emo rap'],9tails,0.40399999999999997,0.711,217182.0,0.545,0.0,0.122,-6.81,0.0322,108.02,0.345,66.0,1,2
70,"['bubblegum pop', 'chicano punk', 'classic garage rock', 'freakbeat', 'protopunk', 'psychedelic rock']",? & The Mysterians,0.218107778,0.6323333329999999,146582.3333,0.670888889,0.17458427699999998,0.15198888900000002,-8.077222222,0.04218888900000001,111.30066670000001,0.8058888890000001,25.11111111,1,18
71,"['melodic rap', 'pop rap', 'rap', 'trap']",A Boogie Wit da Hoodie,0.2533864,0.730093333,200451.88,0.62684,1.62e-06,0.164902667,-7.0110533329999996,0.229846667,118.73386670000001,0.500733333,66.64,0,75
72,"['metalcore', 'pop punk', 'screamo']",A Day To Remember,0.026354052000000003,0.402596154,207746.1538,0.9167307690000001,7.329999999999999e-05,0.285265385,-4.427519231000001,0.111317308,144.2214615,0.458826923,53.42307692,1,104
73,"['acoustic pop', 'lilith', 'neo mellow', 'pop rock']",A Fine Frenzy,0.9470000000000001,0.5489999999999999,268800.0,0.24,0.0,0.106,-7.778,0.0338,119.58,0.16699999999999998,54.0,1,2
74,"['indiecoustica', 'modern rock', 'neo mellow', 'piano rock', 'pop', 'pop rock']",A Great Big World,0.6258,0.4695,243813.5,0.374625,0.000201443,0.113625,-8.29675,0.043625,119.454125,0.22725,59.125,1,8
75,"['doo-wop', 'rhythm and blues']",A Heart Beats,0.8540000000000001,0.507,146173.0,0.255,0.0,0.172,-11.857000000000001,0.0651,97.23100000000001,0.43799999999999994,37.0,1,2
76,"['alternative metal', 'alternative rock', 'modern rock', 'nu metal', 'rap rock', 'rock', 'supergroup']",A Perfect Circle,0.10908790800000001,0.519525424,251080.3898,0.622520339,0.296638305,0.135864407,-9.76320339,0.055608475,124.4771017,0.256277966,49.47457627,1,59
77,"['edm', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'tropical house']",A R I Z O N A,0.1363,0.6759999999999999,182859.6667,0.612666667,0.11673333300000001,0.1313,-8.663333332999999,0.060333332999999996,101.286,0.228,66.33333333,1,6
78,"['metalcore', 'pixie', 'post-screamo', 'screamo']",A Skylit Drive,0.00121075,0.25275,210366.75,0.9275,0.000350395,0.2539,-3.42325,0.094425,123.785,0.306,45.0,1,8
79,"['boogie', 'disco', 'funk', 'post-disco']",A Taste Of Honey,0.326025,0.75475,280870.0,0.53875,0.000627475,0.121125,-9.2815,0.057625,126.93325,0.7490000000000001,45.75,0,8
80,"['bubblegum dance', 'europop']",A Touch Of Class,0.31425,0.6755,181186.5,0.91725,0.033055,0.11875,-6.03175,0.030325,128.45600000000002,0.605,63.75,0,4
81,"['canadian indigenous', 'canadian indigenous hip hop', 'escape room', 'ottawa rap']",A Tribe Called Red,0.023,0.6579999999999999,219853.0,0.573,0.0613,0.0981,-5.4079999999999995,0.107,133.442,0.583,52.0,0,2
82,"['baltimore hip hop', 'drill', 'underground hip hop', 'vapor trap']",A$AP ANT,0.0889,0.9,236227.0,0.532,0.0,0.0533,-5.516,0.0744,140.023,0.5920000000000001,59.0,1,1
83,"['hip hop', 'rap', 'southern hip hop', 'trap', 'vapor trap']",A$AP Mob,0.244255556,0.780666667,237664.6667,0.717888889,1.84e-06,0.158911111,-5.916666667,0.2586,129.4382222,0.491,59.22222222,1,9
84,"['east coast hip hop', 'hip hop', 'rap', 'trap', 'underground hip hop']",A$AP Rocky,0.19370240600000002,0.671229167,219365.4271,0.66903125,0.015331933,0.209775,-6.87225,0.190591667,128.9268854,0.39188125,63.39583333,1,96
85,"['bubblegum dance', 'dance pop', 'europop']",A*Teens,0.043089999999999996,0.7170000000000001,202773.6667,0.879,0.009303333,0.257433333,-5.705666667000001,0.036566667000000004,124.99666670000002,0.789,45.33333333,1,6
86,"['classic hardstyle', 'euphoric hardstyle', 'rawstyle']",A-Lusion,0.0209,0.5105,338208.5,0.9185,0.174,0.1256,-4.0415,0.0407,150.0085,0.2395,0.0,1,4
87,"['banda', 'corrido', 'nuevo regional mexicano', 'regional mexican']",A-Trak,0.009398,0.7048,287949.6,0.7302,0.1555734,0.17292000000000002,-3.6818,0.13292,131.1848,0.8042,56.6,0,5
88,"['deep indian pop', 'filmi']",A. M. Rajah,0.899681818,0.541772727,188202.0455,0.45807727299999995,0.291998749,0.23098636399999997,-10.32381818,0.112659091,131.5843182,0.8589090909999999,4.818181818,1,22
89,['trap soul'],A.CHAL,0.494,0.7340000000000001,165214.0,0.47200000000000003,0.00293,0.102,-8.192,0.306,190.011,0.387,64.0,0,2
90,"['desi pop', 'filmi', 'modern bollywood', 'sufi']",A.R. Rahman,0.33555250000000003,0.65225,360520.75,0.512875,8.3e-05,0.082875,-11.055,0.0536625,122.08775,0.5745,56.125,1,8
91,['scandipop'],A7S,0.166633333,0.7426666670000001,168293.0,0.726,0.0,0.15466666699999998,-5.921333333,0.198,121.29633329999999,0.554666667,87.0,0,3
92,"['europop', 'swedish pop']",ABBA,0.345721746,0.5751666670000001,232053.7302,0.659585714,0.020649907,0.205304762,-8.492928571,0.03805,121.57620630000001,0.6679365079999999,43.25396825,1,252
93,"[""preschool children's music""]",ABC,0.231155556,0.687333333,231968.4444,0.788666667,0.022105362000000003,0.1832,-7.475555556000001,0.060633333,122.38611110000001,0.7748888890000001,42.44444444,1,18
94,"['dirty south rap', 'gangster rap', 'houston rap']",ABN,0.160175,0.75725,300163.25,0.72525,0.0,0.22275,-6.952000000000001,0.19,137.1425,0.54975,42.0,0,8
95,['future bass'],ABSRDST,0.0383,0.6509999999999999,241711.0,0.7929999999999999,0.022000000000000002,0.17800000000000002,-5.287999999999999,0.0837,146.07,0.261,52.0,1,1
96,['meme rap'],ACOT,0.000319,0.73,169912.0,0.5670000000000001,8.54e-06,0.105,-8.085,0.0587,119.99700000000001,0.171,62.0,0,2
97,"['alternative metal', 'emo', 'pop punk', 'punk', 'screamo', 'skate punk']",AFI,0.006557275,0.390138889,187259.2222,0.9057222220000001,0.031634462,0.222552778,-5.111388889,0.087366667,127.02575,0.44433888899999996,42.22222222,0,72
98,"['k-pop', 'korean pop']",AILEE,0.262,0.606,232333.0,0.872,0.0,0.125,-2.114,0.0519,129.965,0.226,58.0,0,2
99,"['opm', 'viral pop']",AJ Rafael,0.5154,0.68,208678.0,0.4596,0.0,0.13935999999999998,-6.3206,0.03478,113.7878,0.6424,61.6,1,5
100,"['acoustic punk', 'anti-folk', 'folk punk', 'indie rock']",AJJ,0.230612667,0.524,155697.6667,0.6331111110000001,7.22e-06,0.292277778,-6.656000000000001,0.067033333,105.0102222,0.764222222,48.44444444,1,18
101,['modern rock'],AJR,0.17247986399999998,0.605389831,216583.2034,0.662745763,0.000138779,0.167018644,-5.570847457999999,0.06818983099999999,114.03784750000001,0.525457627,57.644067799999995,1,59
102,['meme rap'],AL-X The Great,0.282,0.797,173558.0,0.518,0.0,0.0954,-12.625,0.281,139.988,0.7170000000000001,54.0,1,1
103,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",ALI,0.0989,0.578,89667.0,0.875,0.0,0.35100000000000003,-2.1319999999999997,0.0642,133.964,0.617,64.0,0,2
104,"['cali rap', 'hyphy', 'k-rap', 'west coast trap']",ALLBLACK,0.271,0.922,210338.0,0.703,0.0,0.22699999999999998,-4.652,0.259,104.979,0.685,58.0,1,1
105,"['pop soul', 'r&b']",ALO,0.36200000000000004,0.815,218973.0,0.41200000000000003,0.00047999999999999996,0.129,-9.28,0.0438,87.98299999999999,0.669,57.0,1,1
106,"['k-pop', 'k-pop girl group']",AOA,0.43,0.758,179808.0,0.858,0.0,0.201,-2.502,0.0464,119.992,0.963,56.0,1,2
107,"['big room', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'progressive trance', 'russian edm', 'trance', 'tropical house', 'uplifting trance']",ARTY,0.0268,0.43799999999999994,224520.0,0.856,6.27e-06,0.375,-4.158,0.0584,127.991,0.49,57.0,1,2
108,"['german dance', 'german techno', 'german trance', 'trance']",ATB,0.102866667,0.680333333,225377.6667,0.918666667,0.76,0.189266667,-6.191666667000001,0.0397,131.47899999999998,0.7436666670000001,58.0,0,6
109,"['k-pop', 'k-pop boy group']",ATEEZ,0.0503,0.5720000000000001,199013.0,0.9640000000000001,0.0,0.37200000000000005,-1.949,0.12300000000000001,129.97899999999998,0.519,68.0,0,2
110,"['art pop', 'norwegian pop']",AURORA,0.7166,0.431,211047.0,0.27652,0.000141274,0.1402,-11.0328,0.0485,122.56299999999999,0.27399999999999997,61.6,1,10
111,['vapor pop'],AViVA,0.0351,0.5489999999999999,228904.0,0.6559999999999999,1.19e-06,0.129,-6.515,0.0438,180.043,0.594,62.0,1,2
112,"['future bass', 'traprun']",AWAY,0.13699999999999998,0.72,212571.0,0.633,0.00157,0.122,-5.212000000000001,0.0633,140.02700000000002,0.634,58.0,0,2
113,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp pop']",AWOLNATION,0.256893529,0.628411765,216051.0,0.688,0.338922435,0.295705882,-7.504470587999999,0.049264706,135.2505294,0.426235294,55.35294118,1,17
114,"['gruperas inmortales', 'nu-cumbia', 'regional mexican']",AZ,0.180465579,0.726578947,253800.7368,0.646368421,0.000607965,0.23666842100000002,-7.812157895,0.297315789,97.83547368,0.620315789,44.78947368,1,19
115,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop', 'pop rap', 'r&b', 'urban contemporary']",Aaliyah,0.17201076899999998,0.677871795,251971.4615,0.6013589739999999,0.009464694000000001,0.22004102600000003,-8.014794872000001,0.10226153800000001,124.3112564,0.641153846,43.66666667,0,39
116,"['american modern classical', 'classical', 'early modern classical']",Aaron Copland,0.955224,0.3502792,259123.568,0.1560196,0.436706174,0.157872,-19.230776000000002,0.0638368,106.760888,0.2237472,7.56,1,125
117,"['neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",Aaron Hall,0.0393825,0.7086875,315113.25,0.6419375,4.88e-05,0.2420125,-7.8096875,0.051775,126.084125,0.4845625,39.25,0,16
118,['indiecoustica'],Aaron Krause,0.758,0.325,223893.0,0.201,0.0,0.0977,-11.595,0.0282,81.869,0.172,67.0,0,1
119,['focus'],Aaron Lansing,0.9925,0.413,134934.5,0.0211,0.9465,0.11425,-27.8425,0.0566,94.446,0.161,62.0,0,4
120,"['rap', 'underground hip hop']",Aaron May,0.2055,0.7735,183568.5,0.4975,1.82e-05,0.133,-8.2015,0.18265,141.0915,0.5765,65.0,0,4
121,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'rock cristiano', 'world worship', 'worship']",Aaron Shust,0.02325,0.5015,273220.0,0.6705,0.0,0.19175,-4.918,0.03605,113.99,0.3105,51.0,1,4
122,"['country', 'country road', 'country rock', 'redneck']",Aaron Tippin,0.199845455,0.652454545,198106.7273,0.648272727,5.3200000000000006e-05,0.15897272699999998,-8.830818182,0.030009091,113.97227269999999,0.594545455,41.54545455,1,22
123,"['contemporary country', 'country', 'country road', 'modern country rock', 'texas country']",Aaron Watson,0.083475,0.6535,232576.75,0.579,4.6e-06,0.1338,-7.05525,0.03165,138.97075,0.49125,50.25,1,8
124,['soundtrack'],Aaron Zigman,0.995,0.445,169467.0,0.0123,0.925,0.16899999999999998,-25.605999999999998,0.0454,58.875,0.23199999999999998,50.0,1,2
125,"['alternative hip hop', 'conscious hip hop', 'hip hop', 'rap', 'southern hip hop', 'underground hip hop']",Ab-Soul,0.19633684199999998,0.645947368,289496.1579,0.713105263,1.8e-06,0.24947894699999998,-6.500894737,0.2872,110.8102632,0.482368421,51.52631579,0,19
126,['vocal jazz'],Abbey Lincoln,0.429333333,0.47866666700000005,380471.0,0.479333333,0.223233333,0.284,-9.486,0.078366667,82.38866667,0.450666667,20.33333333,1,6
127,['classic arab pop'],Abdel Halim Hafez,0.861931034,0.392241379,658751.5862,0.310689655,0.07649862,0.309551724,-10.98734483,0.044793103,114.0124138,0.452137931,21.44827586,0,58
128,"['dance pop', 'europop', 'new wave pop', 'pop rock', 'soft rock', 'urban contemporary']",Abdul,0.9940000000000001,0.599,153228.0,0.10400000000000001,0.00946,0.10800000000000001,-10.296,0.1,131.624,0.607,0.0,1,2
129,"['desi hip hop', 'vapor soul']",Abhi The Nomad,0.406,0.722,214059.5,0.5885,0.000525,0.17185,-7.4595,0.0953,106.4485,0.3195,61.0,1,2
130,"['g funk', 'gangster rap', 'hip hop', 'hyphy', 'west coast rap', 'west coast trap']",Above The Law,0.00183,0.6990000000000001,253293.0,0.9259999999999999,6.68e-06,0.0522,-8.925,0.0968,97.84200000000001,0.7559999999999999,30.0,1,2
131,"['musica costarricense', 'pop romantico']",Abracadabra,0.33799999999999997,0.617,223467.0,0.37200000000000005,0.0,0.159,-13.622,0.0339,131.562,0.28600000000000003,53.0,1,2
132,"['indie psych-pop', 'shimmer psych']",Absofacto,0.23,0.688,224661.0,0.5820000000000001,0.000157,0.0663,-10.668,0.0542,85.486,0.872,72.0,0,2
